"pop_id","tile_id","year","pixel_id","x","y","Onset_Greenness_Increase","GLSP_QC","PGQ_Onset_Greenness_Increase","clc_code","QC_mandatory_quality","QC_climatology","QC_land_water","clc_name"
"Arija_2","h17v04",2014,15922,-320844.05617625,4781155.57792175,101,116,14,41,"processed, good quality","climatology fill 21-30%","shallow inland water","Water bodies"
"Arija_2","h17v04",2014,15923,-320380.74345975,4781155.57792175,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2014,15924,-319917.43074325,4781155.57792175,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2014,16163,-322697.30704225,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2014,16164,-322233.99432575,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2014,16165,-321770.68160925,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2014,16166,-321307.36889275,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2014,16167,-320844.05617625,4780692.26520525,88,113,14,2,"processed, other quality","climatology fill 16-20%","shallow inland water","Discontinuous urban fabric"
"Arija_2","h17v04",2014,16168,-320380.74345975,4780692.26520525,61,116,100,41,"processed, good quality","climatology fill 21-30%","shallow inland water","Water bodies"
"Arija_2","h17v04",2014,16169,-319917.43074325,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2014,16408,-322697.30704225,4780228.95248875,53,84,71,21,"processed, good quality","climatology fill 21-30%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2014,16409,-322233.99432575,4780228.95248875,46,76,85,21,"processed, good quality","climatology fill 11-15%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2014,16410,-321770.68160925,4780228.95248875,NA,67,NA,41,"not processed","climatology fill 0%","ocean/lake coastline","Water bodies"
"Arija_2","h17v04",2014,16411,-321307.36889275,4780228.95248875,54,88,42,41,"processed, good quality","climatology fill >31%","ocean/lake coastline","Water bodies"
"Arija_2","h17v04",2014,16412,-320844.05617625,4780228.95248875,52,68,42,27,"processed, good quality","climatology fill 1-5%","ocean/lake coastline","Moors and heathland"
"Arija_2","h17v04",2014,16413,-320380.74345975,4780228.95248875,96,67,28,27,"not processed","climatology fill 0%","ocean/lake coastline","Moors and heathland"
"Arija_2","h17v04",2014,16414,-319917.43074325,4780228.95248875,102,72,57,27,"processed, good quality","climatology fill 6-10%","ocean/lake coastline","Moors and heathland"
"Arija_2","h17v04",2014,16415,-319454.11802675,4780228.95248875,79,72,57,26,"processed, good quality","climatology fill 6-10%","ocean/lake coastline","Natural grasslands"
"Arija_2","h17v04",2014,16653,-322697.30704225,4779765.63977225,27,76,0,21,"processed, good quality","climatology fill 11-15%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2014,16654,-322233.99432575,4779765.63977225,50,72,71,21,"processed, good quality","climatology fill 6-10%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2014,16655,-321770.68160925,4779765.63977225,64,64,85,21,"processed, good quality","climatology fill 0%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2014,16656,-321307.36889275,4779765.63977225,67,64,100,20,"processed, good quality","climatology fill 0%","ocean/lake coastline","Complex cultivation patterns"
"Arija_2","h17v04",2014,16657,-320844.05617625,4779765.63977225,53,68,57,27,"processed, good quality","climatology fill 1-5%","ocean/lake coastline","Moors and heathland"
"Arija_2","h17v04",2014,16658,-320380.74345975,4779765.63977225,28,72,0,27,"processed, good quality","climatology fill 6-10%","ocean/lake coastline","Moors and heathland"
"Arija_2","h17v04",2014,16659,-319917.43074325,4779765.63977225,44,68,42,27,"processed, good quality","climatology fill 1-5%","ocean/lake coastline","Moors and heathland"
"Arija_2","h17v04",2014,16898,-322697.30704225,4779302.32705575,66,40,85,21,"processed, good quality","climatology fill 6-10%","land","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2014,16899,-322233.99432575,4779302.32705575,37,40,14,21,"processed, good quality","climatology fill 6-10%","land","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2014,16900,-321770.68160925,4779302.32705575,68,32,100,21,"processed, good quality","climatology fill 0%","land","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2014,16901,-321307.36889275,4779302.32705575,44,36,57,21,"processed, good quality","climatology fill 1-5%","land","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2014,16902,-320844.05617625,4779302.32705575,50,40,71,20,"processed, good quality","climatology fill 6-10%","land","Complex cultivation patterns"
"Arija_2","h17v04",2014,16903,-320380.74345975,4779302.32705575,54,72,100,20,"processed, good quality","climatology fill 6-10%","ocean/lake coastline","Complex cultivation patterns"
"Arija_2","h17v04",2014,16904,-319917.43074325,4779302.32705575,80,64,71,20,"processed, good quality","climatology fill 0%","ocean/lake coastline","Complex cultivation patterns"
"Arija_2","h17v04",2014,17144,-322233.99432575,4778839.01433925,73,32,85,26,"processed, good quality","climatology fill 0%","land","Natural grasslands"
"Arija_2","h17v04",2014,17145,-321770.68160925,4778839.01433925,90,48,14,26,"processed, good quality","climatology fill 16-20%","land","Natural grasslands"
"Arija_2","h17v04",2014,17146,-321307.36889275,4778839.01433925,69,36,100,26,"processed, good quality","climatology fill 1-5%","land","Natural grasslands"
"Arija_2","h17v04",2014,17147,-320844.05617625,4778839.01433925,52,53,100,41,"processed, other quality","climatology fill 21-30%","land","Water bodies"
"Arija_2","h17v04",2014,17148,-320380.74345975,4778839.01433925,63,80,100,20,"processed, good quality","climatology fill 16-20%","ocean/lake coastline","Complex cultivation patterns"
"Arija_2","h17v04",2014,17391,-321307.36889275,4778375.70162275,56,36,28,26,"processed, good quality","climatology fill 1-5%","land","Natural grasslands"
"Arija_2","h17v04",2015,15675,-321770.68160925,4781618.89063825,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,15676,-321307.36889275,4781618.89063825,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,15677,-320844.05617625,4781618.89063825,101,96,14,41,"processed, good quality","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,15678,-320380.74345975,4781618.89063825,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,15919,-322233.99432575,4781155.57792175,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,15920,-321770.68160925,4781155.57792175,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,15921,-321307.36889275,4781155.57792175,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,15922,-320844.05617625,4781155.57792175,141,99,85,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,15923,-320380.74345975,4781155.57792175,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,15924,-319917.43074325,4781155.57792175,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,16163,-322697.30704225,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,16164,-322233.99432575,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,16165,-321770.68160925,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,16166,-321307.36889275,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,16167,-320844.05617625,4780692.26520525,102,104,85,2,"processed, good quality","climatology fill 6-10%","shallow inland water","Discontinuous urban fabric"
"Arija_2","h17v04",2015,16168,-320380.74345975,4780692.26520525,103,104,85,41,"processed, good quality","climatology fill 6-10%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,16169,-319917.43074325,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2015,16408,-322697.30704225,4780228.95248875,74,69,0,21,"processed, other quality","climatology fill 1-5%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2015,16409,-322233.99432575,4780228.95248875,49,72,0,21,"processed, good quality","climatology fill 6-10%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2015,16410,-321770.68160925,4780228.95248875,NA,67,NA,41,"not processed","climatology fill 0%","ocean/lake coastline","Water bodies"
"Arija_2","h17v04",2015,16411,-321307.36889275,4780228.95248875,77,73,42,41,"processed, other quality","climatology fill 6-10%","ocean/lake coastline","Water bodies"
"Arija_2","h17v04",2015,16412,-320844.05617625,4780228.95248875,83,72,42,27,"processed, good quality","climatology fill 6-10%","ocean/lake coastline","Moors and heathland"
